disk_reference,duration,start,channel,title,description,scrid,pcrid
5081840094139396544,11100,2007-06-30 14:55:00 +0100,BBC Two,Wimbledon 2007,The drama continues at Wimbledon with action from the third round in the men's women's singles as Ai Sugiyama of Japan takes on second seed Maria Sharapova. [S],crid://fp.bbc.co.uk/KCID5L,""
5081841382641840394,1800,2007-06-30 15:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081849113582973174,1800,2007-06-30 15:30:00 +0100,BBC News 24,Your News,"The programme where you tell us the news through your pictures, videos and stories. Richard Bilton is out and about in the UK and Laura Jones asks your questions.","",""
5081870244809817357,4080,2007-06-30 16:52:00 +0100,BBC Two,Wimbledon 2007,Sue Barker presents third round action from SW19. [S],crid://fp.bbc.co.uk/KCID5L,""
5081872306406371585,3600,2007-06-30 17:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081877460350677348,600,2007-06-30 17:20:00 +0100,BBC One,BBC News,National and international news from the BBC. [S],"",""
5081880037331054944,600,2007-06-30 17:30:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. Followed by the national headlines and Weather. [S],"",""
5081882614311432550,2100,2007-06-30 17:40:00 +0100,BBC One,School's Out,"Quiz show in which everyone should know the answers because they were taught them at school. The pupils are Rory Bremner, Patrick Kielty and Shaun Williamson. [S]",crid://fp.bbc.co.uk/KCIQZW,crid://fp.bbc.co.uk/35VAD9
5081887768276382169,9000,2007-06-30 18:00:00 +0100,BBC Two,Wimbledon 2007,The drama continues at Wimbledon with action from the third round in the men's and women's singles. [S],crid://fp.bbc.co.uk/KCID5L,""
5081887768288637172,1800,2007-06-30 18:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081891633742754146,3000,2007-06-30 18:15:00 +0100,BBC One,The Weakest Link,"David Tennant, John Barrowman, Camille Coduri, Noel Clarke, K9 and Tracy-Anne Oberman battle it out for intergalactic supremacy in a Doctor Who special. Is the Doctor a match for Anne Robinson? [S]",crid://fp.bbc.co.uk/KCI7US,crid://fp.bbc.co.uk/1RSJXA
5081895499229769995,1800,2007-06-30 18:30:00 +0100,BBC News 24,Sportsday,A round up of all the day's sports events.,crid://fp.bbc.co.uk/KCIKQC,""
5081903230158650639,1800,2007-06-30 19:00:00 +0100,BBC Two,Rick Stein's French Odyssey,"Rick Stein fulfils a boyhood dream by visiting the canteen of the French Foreign Legion training facility at Castelnaudary, where he cooks a spicy tagine with couscous. [S]",crid://fp.bbc.co.uk/KCIJA4,crid://fp.bbc.co.uk/35W0PW
5081903230166708572,1500,2007-06-30 19:00:00 +0100,BBC Three,THREE's Outtakes,More hilarious outtakes from the BBC THREE vaults.,"",crid://fp.bbc.co.uk/4RHDJV
5081903230170902776,3600,2007-06-30 19:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break. Including Sportsday.,"",""
5081903230984663273,3600,2007-06-30 19:00:00 +0100,BBC Four,Voyages of Discovery,"2/5. The Making of Captain Cook: Paul Rose tells the real story of the explorer, cartographer and navigator Captain Cook and how his three voyages changed the map of the South Pacific. [AD,S]",crid://fp.bbc.co.uk/KCJ13S,crid://fp.bbc.co.uk/4KU3NX
5081904518644642147,3000,2007-06-30 19:05:00 +0100,BBC One,Doctor Who,"13/13. Last of the Time Lords: Earth has been conquered and the Master rules supreme, with the Doctor his prisoner. Can Martha Jones save the world? [AD,S]",crid://fp.bbc.co.uk/KCI156,crid://fp.bbc.co.uk/54BW1P
5081909672617652571,1800,2007-06-30 19:25:00 +0100,BBC Three,The Real Hustle,6/10. A team of hustlers try out notorious scams on members of the public. Scams include a three-in-one hustle where the victim is tricked into buying a fake charity scratch card. [S] Then 60 Seconds.,crid://fp.bbc.co.uk/KCIXK0,crid://fp.bbc.co.uk/35W3LM
5081910961099783438,3600,2007-06-30 19:30:00 +0100,BBC Two,Coast,"This journey starts in Cardiff marina, takes in the Gower Peninsula, the first Area of Outstanding Natural Beauty in the UK, and finishes in Britain's smallest city, St David's. [S]",crid://fp.bbc.co.uk/KCJ9F9,crid://fp.bbc.co.uk/53TYB3
5081917403546530165,900,2007-06-30 19:55:00 +0100,BBC One,The National Lottery Draws,"Tim Vincent hosts the Thunderball, Dream Number and Lotto draws, live from Lottery HQ. Plus Melanie Chisholm performs her new single Carolyna.",crid://fp.bbc.co.uk/KCI68G,crid://fp.bbc.co.uk/35VAPR
5081917403558785024,2700,2007-06-30 19:55:00 +0100,BBC Three,Doctor Who Confidential,13/13. The Valiant Quest: Behind-the-scenes look at the making of Doctor Who. Two enemies square up for a battle of valiant proportions in the series finale. [S] Followed by 60 Seconds.,crid://fp.bbc.co.uk/KCJ6WQ,crid://fp.bbc.co.uk/1RH8YX
5081918692053168396,1800,2007-06-30 20:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081918692866928860,3600,2007-06-30 20:00:00 +0100,BBC Four,Children's TV on Trial,"2/5. 1960s: A look at the decade that gave us Thunderbirds, Captain Scarlet, Camberwick Green, Noggin the Nog, the Clangers, Dr Who and Blue Peter. [S]",crid://fp.bbc.co.uk/KCJ9VW,crid://fp.bbc.co.uk/4AYPRV
5081921269017096555,3000,2007-06-30 20:10:00 +0100,BBC One,Casualty,"Lie To Me: Cyd is left fighting for her life when she is bitten by a venomous snake, and Dixie confesses a deep secret. Guppy's exhaustion leads to him make a reckless decision. [S]",crid://fp.bbc.co.uk/KCI3YS,crid://fp.bbc.co.uk/4D2K45
5081926422982046165,1800,2007-06-30 20:30:00 +0100,BBC Two,Porridge,"New Faces, Old Hands: Fletcher introduces young Godber to prison life. [S]","",crid://fp.bbc.co.uk/4GYOFY
5081926422994301190,1800,2007-06-30 20:30:00 +0100,BBC News 24,HARDtalk,"Stephen Sackur talks to Lord Patten, Governor of Hong Kong from 1992 to 1997 about the current state of Hong Kong and what it says about China's ambitions.",crid://fp.bbc.co.uk/KCIW9X,""
5081928999970484210,3600,2007-06-30 20:40:00 +0100,BBC Three,Top Gear,"Motoring magazine presented by Jeremy Clarkson, Richard Hammond and James May. The guys hand over duties to their mothers to review a range of new small cars. [S]",crid://fp.bbc.co.uk/KCJ444,crid://fp.bbc.co.uk/2FCYEM
5081934153918984552,3300,2007-06-30 21:00:00 +0100,BBC One,Jekyll,"Tom Jackman wakes with blood on his hands. Has Hyde finally done the unthinkable? Adult themes. [AD,S]",crid://fp.bbc.co.uk/KCJ9N0,crid://fp.bbc.co.uk/35UEXN
5081934153923178947,5400,2007-06-30 21:00:00 +0100,BBC Two,Seven Ages of Rock,"7/7. What the World is Waiting For - Indie Rock: The journey through the Seven Ages of Rock climaxes with a 90-minute special on British indie music. Strong language. [AD,S]",crid://fp.bbc.co.uk/KCJ8Z5,crid://fp.bbc.co.uk/5416HF
5081934153935433978,1800,2007-06-30 21:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081934154749194461,3600,2007-06-30 21:00:00 +0100,BBC Four,Goodbye Children Everywhere: Time Shift,"With children's TV under threat, this programme asks if the future of mainstream television will be one where children are neither seen nor heard. [S]",crid://fp.bbc.co.uk/KCIEPO,crid://fp.bbc.co.uk/5416HR
5081941884876566767,1800,2007-06-30 21:30:00 +0100,BBC News 24,Our World: Hunters of the Twilight,"As scientists warn that global warming could threaten the future of animals and people in the Arctic, Fergal Keane reports on the world of the Inuits of Canada's high Arctic, and joins the hunters.","",""
5081944461852750167,900,2007-06-30 21:40:00 +0100,BBC Three,The Real Hustle,A team of hustlers try out notorious scams on members of the public. [S] Then 60 Seconds.,"",crid://fp.bbc.co.uk/35W3MK
5081948327311061358,1800,2007-06-30 21:55:00 +0100,BBC One,Would I Lie To You?,"Comedy panel show hosted by Angus Deayton. Team captains Lee Mack and David Mitchell are joined by Eamonn Holmes, Ulrika Jonsson, Dara O'Briain and Jimmy Carr. Adult humour. [S]",crid://fp.bbc.co.uk/KCJ9N1,crid://fp.bbc.co.uk/35VANB
5081948327323316218,1800,2007-06-30 21:55:00 +0100,BBC Three,Gavin and Stacey,"1/6. Gavin is an ordinary boy from Essex. Stacey is an ordinary girl from South Wales. They've been talking on the phone at work for months, but they've never actually met. Adult humour. [S]",crid://fp.bbc.co.uk/KCJ8O0,crid://fp.bbc.co.uk/35VA52
5081949615817699580,1800,2007-06-30 22:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081949616631460062,1800,2007-06-30 22:00:00 +0100,BBC Four,The Cult of ... Blake's 7,"A behind the scenes look at one of British TV's biggest cult hits. Includes contributions from Gareth Thomas, Paul Darrow, Sally Knyvette, Michael Keating and Jacqueline Pearce. [S]",crid://fp.bbc.co.uk/KCJ0X4,crid://fp.bbc.co.uk/56LIL4
5081956058252194151,1200,2007-06-30 22:25:00 +0100,BBC One,BBC News,National and international news from the BBC. [S] Followed by Weather.,"",""
5081956058264449022,1800,2007-06-30 22:25:00 +0100,BBC Three,Gavin and Stacey,"2/6. After a misunderstanding on the phone, Stacey thinks Gavin has finished with her. He drives to Wales to explain and ends up taking her home with him. Adult Humour. [S] Then 60 Seconds.",crid://fp.bbc.co.uk/KCJ8O0,crid://fp.bbc.co.uk/35VA53
5081957346746577346,3600,2007-06-30 22:30:00 +0100,BBC Two,Today at Wimbledon,"John Inverdale presents the pick of the action from today's matches, with exclusive interviews and expert analysis. Plus a full round-up of the day's top stories. [S]",crid://fp.bbc.co.uk/KCID5M,crid://fp.bbc.co.uk/4KS8QA
5081957346758832365,1800,2007-06-30 22:30:00 +0100,BBC News 24,Straight Talk with Andrew Neil,Andrew Neil explores what motivates his guest's approach to politics.,"",""
5081957347572592865,2700,2007-06-30 22:30:00 +0100,BBC Four,Britpop Now,"Damon Albarn presents a compilation of live performances of music from 1995 including Blur, Pulp, Supergrass, Elastica and Menswear. [S]","",crid://fp.bbc.co.uk/4HHB2O
5081961212212949370,5700,2007-06-30 22:45:00 +0100,BBC One,Big Momma's House,Comedy about an FBI officer who goes to extreme lengths to stay on the trail of a violent bank robber who has escaped from prison. [S],"",crid://fp.bbc.co.uk/4J3XLD
5081965077699965164,3600,2007-06-30 23:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081968943984292063,3600,2007-06-30 23:15:00 +0100,BBC Four,Later Presents Britbeat,"Jools Holland introduces a compilation of live studio performances by British guitar-pop bands. Featuring Oasis, Blur, Pulp, Manic Street Preachers, Radiohead, Ash and Cast. [S]","",crid://fp.bbc.co.uk/4HHENY
5081971520146714616,1800,2007-06-30 23:25:00 +0100,BBC Three,Gavin and Stacey,"4/6. The Shipmans drive down to Wales for the Wedding Fayre and after an eventful trip to church to hear the banns being read, Nessa confides her secret to Stacey. Adult humour. [S] Then 60 Seconds.",crid://fp.bbc.co.uk/KCJ8O0,crid://fp.bbc.co.uk/35VA55
5081972808628842968,1800,2007-06-30 23:30:00 +0100,BBC Two,The Culture Show,"Lou Reed Special: Lou Reed talks to Lauren Laverne about why he's recreating his 1973 cult album, Berlin. Including contributions from collaborators and admirers. [S]",crid://fp.bbc.co.uk/KCIF2S,crid://fp.bbc.co.uk/56URZJ
5081979251087847427,1800,2007-06-30 23:55:00 +0100,BBC Three,Gavin and Stacey,"5/6. Stacey has her hen night and Gavin has two stag nights, the second of which reveals something about Stacey that could jeapardise the whole wedding. Adult humour. [S]",crid://fp.bbc.co.uk/KCJ8O0,crid://fp.bbc.co.uk/35VA56
5081980539569975767,5700,2007-07-01 00:00:00 +0100,BBC Two,Requiem for a Dream,"Hard-hitting drama based on the novel by Hubert Selby Jr, using kaleidoscopic breakneck montage to tell the story of four people enslaved by drug addiction. Very strong language. [2000] [S]","",crid://fp.bbc.co.uk/4J3ZO5
5081980539582230801,1800,2007-07-01 00:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081984405866557666,2400,2007-07-01 00:15:00 +0100,BBC Four,Pulp: No Sleep Till Sheffield,"Made in 1995, this documentary follows Jarvis Cocker and the rest of Pulp as they tour around Britain culminating in a gig at Sheffield, their home town. [S]","",crid://fp.bbc.co.uk/4HHEGP
5081985693526536562,3600,2007-07-01 00:20:00 +0100,BBC One,Friday Night with Jonathan Ross,"Jonathan is joined by Hollywood superstar Bruce Willis, TV presenter Fearne Cotton and musician Pete Doherty. Plus music from Arcade Fire. Adult humour. [S]",crid://fp.bbc.co.uk/KCI4CW,crid://fp.bbc.co.uk/35V99M
5081986982028980215,1500,2007-07-01 00:25:00 +0100,BBC Three,Gavin and Stacey,"6/6. The wedding day has finally arrived, but will they go through with it? Will Uncle Bryn finally admit to what happened on the fishing trip? Some strong language. [S]",crid://fp.bbc.co.uk/KCJ8O0,crid://fp.bbc.co.uk/35VA57
5081988270523363611,1800,2007-07-01 00:30:00 +0100,BBC News 24,Reporters,"A weekly programme of stories filed by BBC reporters from all over the world, ranging from analyses of major global issues to personal reflections and anecdotes.",crid://fp.bbc.co.uk/KCJ83G,""
5081993424479924225,1800,2007-07-01 00:50:00 +0100,BBC Three,"Touch Me, I'm Karen Taylor","3/6. Sketch series staring comedian Karen Taylor, which takes a fresh and saucy look at modern life. Sketches include The Tao of Taylor, straight-talking advice for women. Some strong language. [S]","",crid://fp.bbc.co.uk/35VAH6
5081994713788068064,3600,2007-07-01 00:55:00 +0100,BBC Four,Children's TV on Trial,"2/5. 1960s: A look at the decade that gave us Thunderbirds, Captain Scarlet, Camberwick Green, Noggin the Nog, the Clangers, Dr Who and Blue Peter. [S]",crid://fp.bbc.co.uk/KCJ9VX,crid://fp.bbc.co.uk/4AYPRV
5081996001464496413,1800,2007-07-01 01:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082001155408802161,4800,2007-07-01 01:20:00 +0100,BBC One,On the Line,Romantic comedy about an advertising employee who falls in love at first sight with a girl on a train and tries desperately to track her down with the aid of his best friend. [S],"",crid://fp.bbc.co.uk/4J3YCL
5082001155421057020,1800,2007-07-01 01:20:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 1/14. Death: With Jonny gunned down by the police, Janet struggles to cope with her loss. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIWM5,crid://fp.bbc.co.uk/1RSHSZ
5082003732405629234,1800,2007-07-01 01:30:00 +0100,BBC News 24,Straight Talk with Andrew Neil,Andrew Neil explores what motivates his guest's approach to politics.,"",""
5082005020883562966,5700,2007-07-01 01:35:00 +0100,BBC Two,The Naked City,Crime drama in which two homocide detectives see the seamier side of the streets of New York while investigating the murder of a model. [1948][b&w],"",crid://fp.bbc.co.uk/4J3TNP
5082008886362189819,1800,2007-07-01 01:50:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 2/14. Nobbly Bobbly: Donna discovers a dreadful secret in her dead Mum's house. Jonny gets scared to leave the house. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIWM5,crid://fp.bbc.co.uk/1RSHT0
5082010175670333667,3600,2007-07-01 01:55:00 +0100,BBC Four,Goodbye Children Everywhere: Time Shift,"With children's TV under threat, this programme asks if the future of mainstream television will be one where children are neither seen nor heard. [S]",crid://fp.bbc.co.uk/KCIEPP,crid://fp.bbc.co.uk/5416HR
5082011463346762006,1800,2007-07-01 02:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082016617303322968,1800,2007-07-01 02:20:00 +0100,BBC Three,The Real Hustle,6/10. A team of hustlers try out notorious scams on members of the public. Scams include a three-in-one hustle where the victim is tricked into buying a fake charity scratch card. [S],crid://fp.bbc.co.uk/KCIXKK,crid://fp.bbc.co.uk/35W3LM
5082019194287894804,1800,2007-07-01 02:30:00 +0100,BBC News 24,Your News,"The programme where you tell us the News through your pictures, videos and stories. Richard Bilton is out and about in the UK inviting you to read the headlines, and Laura Jones asks your questions.","",""
5082021771251822954,300,2007-07-01 02:40:00 +0100,BBC One,Weather View,Detailed weather forecast.,crid://fp.bbc.co.uk/KCI7YZ,""
5082023059742011763,11700,2007-07-01 02:45:00 +0100,BBC One,BBC News 24,"BBC ONE joins the BBC's rolling news channel for a night of news, with bulletins on the hour and the headlines every 15 minutes.",crid://fp.bbc.co.uk/KCI7YY,""
5082024348244455769,600,2007-07-01 02:50:00 +0100,BBC Three,The Real Hustle,A team of hustlers try out notorious scams on members of the public. [S],"",crid://fp.bbc.co.uk/35W3MK
5082025637552599270,3600,2007-07-01 02:55:00 +0100,BBC Four,Voyages of Discovery,"2/5. The Making of Captain Cook: Paul Rose tells the real story of the explorer, cartographer and navigator Captain Cook and how his three voyages changed the map of the South Pacific. [AD,S]",crid://fp.bbc.co.uk/KCJ13T,crid://fp.bbc.co.uk/4KU3NX
5082026925224833021,1800,2007-07-01 03:00:00 +0100,BBC Three,"Touch Me, I'm Karen Taylor","3/6. Sketch series staring comedian Karen Taylor, which takes a fresh and saucy look at modern life. Sketches include The Tao of Taylor, straight-talking advice for women. Some strong language. [S]","",crid://fp.bbc.co.uk/35VAH6
5082026925229027603,1800,2007-07-01 03:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082034656165966170,1800,2007-07-01 03:30:00 +0100,BBC Three,THREE's Outtakes,More hilarious outtakes from the BBC THREE vaults.,"",crid://fp.bbc.co.uk/4RHDJV
5082034656170160400,1800,2007-07-01 03:30:00 +0100,BBC News 24,Our World: Hunters of the Twilight,"As scientists warn that global warming could threaten the future of animals and people in the Arctic, Fergal Keane reports on the world of the Inuits of Canada's high Arctic, and joins the hunters.","",""
5082041099434864871,1800,2007-07-01 03:55:00 +0100,BBC Four,The Cult of ... Blake's 7,"A behind the scenes look at one of British TV's biggest cult hits. Includes contributions from Gareth Thomas, Paul Darrow, Sally Knyvette, Michael Keating and Jacqueline Pearce. [S]",crid://fp.bbc.co.uk/KCJ0X5,crid://fp.bbc.co.uk/56LIL4
5082042387111293223,1800,2007-07-01 04:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082050118052426012,1800,2007-07-01 04:30:00 +0100,BBC News 24,Click,"The programme for everyone interested in the internet and new media, whether it's e-commerce, new developments and products, or gadgets and games.",crid://fp.bbc.co.uk/KCIAR9,""
5082057848993558830,1800,2007-07-01 05:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082065579934691602,1800,2007-07-01 05:30:00 +0100,BBC News 24,The Record Europe,An in-depth look at the politics of Europe presented by Shirin Wheeler.,"",""
5082073310859375086,10800,2007-07-01 06:00:00 +0100,BBC One,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team. [S]",crid://fp.bbc.co.uk/KCI7Z3,""
5082073310863569538,1800,2007-07-01 06:00:00 +0100,BBC Two,Teletubbies,"CBeebies. Dandelion Clocks. The Teletubbies watch some children going for a walk to look for dandelion clocks to blow. Po decides to have a blowy day. [AD,S] Followed by CBeebies Birthdays.",crid://fp.bbc.co.uk/KCI8KI,crid://fp.bbc.co.uk/4CB9UA
5082073310875824408,3600,2007-07-01 06:00:00 +0100,BBC News 24,Breakfast,The daily early morning news programme. Including Reporters.,"",""
5082081041804702345,1200,2007-07-01 06:30:00 +0100,BBC Two,Balamory,"CBeebies. Trip to the Moon: Edie wants to take the children on a trip to the moon, but how will she manage in the Daisy Bus? [S]",crid://fp.bbc.co.uk/KCI84G,crid://fp.bbc.co.uk/56FO28
5082086195765457544,600,2007-07-01 06:50:00 +0100,BBC Two,Step Inside,"CBeebies. A Duck So Small: Join Mr Mopple in the magic house for storytime fun with Twinkle the cat, Boris the bookcase and Chloe the grandfather clock. [S]",crid://fp.bbc.co.uk/KCII00,crid://fp.bbc.co.uk/TFH1H
5082088772745835146,600,2007-07-01 07:00:00 +0100,BBC Two,Batfink,CBBC. Robber Hood/Devilish Device: Batfink combats more bad guys his super-sonic sonar radar and his metallic wings. [S],crid://fp.bbc.co.uk/KCIRAG,crid://fp.bbc.co.uk/SIG9O
5082088772758090028,3600,2007-07-01 07:00:00 +0100,BBC News 24,Breakfast,The daily early morning news programme. Including Click.,"",""
5082091349726212742,1200,2007-07-01 07:10:00 +0100,BBC Two,Legend of the Dragon,"CBBC. Sister, Sister: The Guardian of the Temple has died, and a new Golden Dragon is chosen. Master Chin, Angy Beingal and Zuan Chi come to the aid of the Rabbit Temple Guardian. [S]",crid://fp.bbc.co.uk/KCIKOQ,crid://fp.bbc.co.uk/SIGLF
5082096503686967950,9000,2007-07-01 07:30:00 +0100,BBC Two,Smile,"CBBC. Kirsten O'Brien, Barney Harwood and Nev bring you plenty of fun and prizes to be won in games such as Piejamas. Cartoons include Arthur, Even Stevens, Likeaballs and Jakers. [S]",crid://fp.bbc.co.uk/KCI4K1,""
5082104234640355633,3600,2007-07-01 08:00:00 +0100,BBC News 24,Breakfast,The daily early morning news programme.,"",""
5082119696506171908,3600,2007-07-01 09:00:00 +0100,BBC One,Sunday AM,"Andrew Marr interviews Prime Minister Gordon Brown. Includes a review of the Sunday newspapers, weather forecast and news bulletins.",crid://fp.bbc.co.uk/KCIK1W,""
5082119696522621207,1800,2007-07-01 09:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082127427463754027,1800,2007-07-01 09:30:00 +0100,BBC News 24,BBC World News,World News Today is a new addition to BBC World's news programmes. A comprehensive hour-long programme bringing viewers up to date with news and business developments.,"",""
5082135158388437514,3600,2007-07-01 10:00:00 +0100,BBC One,Heaven and Earth,"Declan Curry and a panel of guests, including Gene Wilder, debate the ethical and religious issues of the week. [S]",crid://fp.bbc.co.uk/KCIE38,crid://fp.bbc.co.uk/59RJNN
5082135158392631937,5400,2007-07-01 10:00:00 +0100,BBC Two,Something for the Weekend,"Tim Lovejoy and nutritionist Amanda Hamilton are joined by Myleene Klass, dig out some classic TV archive and tuck into a delicious Sunday lunch dished up by top chef Simon Rimmer. [S]",crid://fp.bbc.co.uk/KCIZFT,crid://fp.bbc.co.uk/35W4GN
5082135158404886818,1800,2007-07-01 10:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082142889346019610,1800,2007-07-01 10:30:00 +0100,BBC News 24,Your News,"The programme where you tell us the news through your pictures, videos and stories. Richard Bilton is out and about in the UK inviting you to read the headlines, and Laura Jones asks your questions.","",""
5082150620270703107,3600,2007-07-01 11:00:00 +0100,BBC One,Countryfile,"John Craven explores the Oxford canal, while Miriam O'Reilly reports on concerns that raw sewage is being pumped into the seas around Guernsey. [S] Includes Weather for the Week Ahead.",crid://fp.bbc.co.uk/KCI1FQ,crid://fp.bbc.co.uk/53TYM7
5082150620287152436,1800,2007-07-01 11:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082158351216030341,1800,2007-07-01 11:30:00 +0100,BBC Two,Animal Park,Lord Bath has plans to do something very radical to the Great Hall. There is a problem with one of the most famous residents - Winkie the one-wheeled tortoise needs roadside assistance. [S],crid://fp.bbc.co.uk/KCIBDN,crid://fp.bbc.co.uk/35W2U8
5082158351228285220,1800,2007-07-01 11:30:00 +0100,BBC News 24,Dateline London,"Foreign correspondents currently posted to London look at events in the UK through outsiders' eyes, and see how the issues of the week are being tackled around the world.",crid://fp.bbc.co.uk/KCIB81,""
5082166082152968703,3600,2007-07-01 12:00:00 +0100,BBC One,The Politics Show,"A look at the new cabinet formed by PM Gordon Brown, a report on the bingo industry which is going through difficult times and some good news for English wine growers. Presented by Jon Sopel. [S]",crid://fp.bbc.co.uk/KCI5IW,""
5082166082157163140,7200,2007-07-01 12:00:00 +0100,BBC Two,That's Entertainment,"Compilation of great musical moments from nearly a hundred MGM musicals, including a singing and dancing Clark Gable, and Eleanor Powell in her classic challenge dance with Fred Astaire. [1974][S]","",crid://fp.bbc.co.uk/4J4551
5082166082169418014,3600,2007-07-01 12:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082181544035234311,1800,2007-07-01 13:00:00 +0100,BBC One,Keeping Up Appearances,"Sitcom about a snobbish, upwardly mobile housewife and her long-suffering husband. Hyacinth can't wait for the neighbours to see her new suite. [S]",crid://fp.bbc.co.uk/KCI7E5,crid://fp.bbc.co.uk/4GYL68
5082181544051683637,3600,2007-07-01 13:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082189274976367100,7200,2007-07-01 13:30:00 +0100,BBC One,EastEnders,"Dawn is finally able to escape May and Rob and is left holding the baby. A persistent Bradley eventually wins Stacey's heart and Stella's past starts to catch up with her. [AD,S]",crid://fp.bbc.co.uk/KCI192,crid://fp.bbc.co.uk/4D2KJW
5082197005921694334,11100,2007-07-01 14:00:00 +0100,BBC Two,Show Jumping from Hickstead,"Claire Balding presents coverage from one of the highlights of the showjumping year, the DFS Derby at Hickstead, in which Britain's William Funnell hopes to defend his title. [S]","",crid://fp.bbc.co.uk/4KRX5S
5082197005933949226,1800,2007-07-01 14:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082204736875082009,1800,2007-07-01 14:30:00 +0100,BBC News 24,Our World: Hunters of the Twilight,"As scientists warn that global warming could threaten the future of animals and people in the Arctic, Fergal Keane reports on the world of the Inuits of Canada's high Arctic, and joins the hunters.","",""
5082212467816214829,1800,2007-07-01 15:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082220198740898283,18000,2007-07-01 15:30:00 +0100,BBC One,Concert for Diana,"On what would have been Princess Diana's 46th birthday, her sons Princes William and Harry welcome the world to Wembley to celebrate their mother's life with a unique concert. [S]","",crid://fp.bbc.co.uk/2FCZ2F
5082220198757347635,1800,2007-07-01 15:30:00 +0100,BBC News 24,Click,"The programme for everyone interested in the internet and new media, whether it's e-commerce, new developments and products, or gadgets and games.",crid://fp.bbc.co.uk/KCIARA,""
5082227929698480432,3600,2007-07-01 16:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082243391580746025,3600,2007-07-01 17:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082244680058679955,2100,2007-07-01 17:05:00 +0100,BBC Two,Songs of Praise,Hymns of worship from Gorton Monastery. [S],crid://fp.bbc.co.uk/KCI6I1,crid://fp.bbc.co.uk/59RJKP
5082253699490001554,1200,2007-07-01 17:40:00 +0100,BBC Two,BBC News,The latest national and international news from the BBC. Followed by Weather.,"",""
5082258853450756735,1800,2007-07-01 18:00:00 +0100,BBC Two,Diving with Dolphins,"World champion freediver Tanya Streeter travels to the Bahamas in search of wild dolphins and spends a week with Dr Denise Herzing, who has studied them for more than 20 years. [S]","",crid://fp.bbc.co.uk/541IDY
5082258853463011621,2700,2007-07-01 18:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5082266584391889547,3600,2007-07-01 18:30:00 +0100,BBC Two,Cooking in the Danger Zone,"Food as a Weapon: Stefan Gates is smuggled over the Thai border into Burma. He then travels to Venezuela, where food is being used in a fight between a rich elite and a socialist president. [S]",crid://fp.bbc.co.uk/KCJ8BS,crid://fp.bbc.co.uk/73S9K
5082270449874710805,900,2007-07-01 18:45:00 +0100,BBC News 24,Sportsday,A round up of all the day's sports events.,crid://fp.bbc.co.uk/KCIKQC,""
